ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
4161.1,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710284,70.5,0.0,0.0,12.12,90.98,-0.03,70.5,-598435.5,0.0
4161.34,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710284,70.5,0.0,0.0,12.12,90.99,-0.03,70.5,-598435.5,0.0
4161.56,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710284,70.5,0.0,0.0,12.12,90.99,-0.03,70.5,-598435.5,0.0
4161.78,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710284,70.5,0.0,0.0,12.12,91.0,-0.03,70.5,-598435.5,0.0
4161.96,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710284,70.5,0.0,0.0,12.12,91.0,-0.03,70.5,-598435.5,0.0
4162.22,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710285,70.5,0.0,0.0,12.12,91.01,-0.03,70.5,-598435.5,0.0
4162.42,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710285,70.5,0.0,0.0,12.12,91.01,-0.03,70.5,-598435.5,0.0
4162.58,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710285,70.5,0.0,0.0,12.12,91.02,-0.03,70.5,-598435.5,0.0
4162.82,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710285,70.5,0.0,0.0,12.12,91.02,-0.03,70.5,-598435.5,0.0
4163.04,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710285,70.5,0.0,0.0,12.12,91.03,-0.03,70.5,-598435.5,0.0
4163.22,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710286,70.5,0.0,0.0,12.12,91.03,-0.03,70.5,-598435.5,0.0
4163.44,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710286,70.5,0.0,0.0,12.12,91.04,-0.03,70.5,-598435.4,0.0
4163.68,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710286,70.5,0.0,0.0,12.12,91.04,-0.03,70.5,-598435.5,0.0
4163.9,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710286,70.5,0.0,0.0,12.12,91.06,-0.03,70.5,-598435.5,0.0
4164.1,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710286,70.5,0.0,0.0,12.12,91.06,-0.03,70.5,-598435.5,0.0
4164.32,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710286,70.5,0.0,0.0,12.12,91.06,-0.03,70.5,-598435.5,0.0
4164.54,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710287,70.5,0.0,0.0,12.12,91.07,-0.03,70.5,-598435.5,0.0
4164.76,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710287,70.5,0.0,0.0,12.12,91.08,-0.03,70.5,-598435.5,0.0
4164.98,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710287,70.5,0.0,0.0,12.12,91.08,-0.03,70.5,-598435.5,0.0
4165.22,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710287,70.5,0.0,0.0,12.12,91.09,-0.03,70.5,-598435.5,0.0
4165.44,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710287,70.5,0.0,0.0,12.12,91.09,-0.03,70.5,-598435.5,0.0
4165.66,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710288,70.5,0.0,0.0,12.12,91.1,-0.03,70.5,-598435.5,0.0
4165.88,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710288,70.5,0.0,0.0,12.12,91.1,-0.03,70.5,-598435.5,0.0
4166.14,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710288,70.5,0.0,0.0,12.12,91.1,-0.03,70.5,-598435.5,0.0
4166.36,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710288,70.5,0.0,0.0,12.12,91.11,-0.03,70.5,-598435.5,0.0
4166.54,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710288,70.5,0.0,0.0,12.12,91.12,-0.03,70.5,-598435.5,0.01
4166.78,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710289,70.5,0.0,0.0,12.12,91.12,-0.03,70.5,-598435.5,0.11
4167.0,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710289,70.5,0.0,0.0,12.12,91.13,-0.03,70.5,-598435.5,0.11
4167.22,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710289,70.5,0.0,0.0,12.12,91.13,-0.03,70.5,-598435.5,0.2
4167.44,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710289,70.5,0.0,0.0,12.12,91.14,-0.03,70.5,-598435.5,0.2
4167.64,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710289,70.5,0.0,0.0,12.12,91.14,-0.03,70.5,-598435.5,0.2
4167.88,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.71029,70.5,0.0,0.0,12.12,91.15,-0.03,70.5,-598435.5,0.2
4168.1,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.71029,70.5,0.0,0.0,12.12,91.16,-0.03,70.5,-598435.5,0.2
4168.32,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.71029,70.5,0.0,0.0,12.12,91.16,-0.03,70.5,-598435.5,0.2
4168.52,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.71029,70.5,0.0,0.0,12.12,91.16,-0.03,70.5,-598435.5,0.2
4168.74,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.71029,70.5,0.0,0.0,12.12,91.17,-0.03,70.5,-598435.5,0.2
4168.96,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.71029,70.5,0.0,0.0,12.12,91.18,-0.04,70.5,-598435.5,0.2
4169.18,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.18,-0.03,70.5,-598435.5,0.2
4169.38,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.19,-0.03,70.5,-598435.5,0.2
4169.64,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.2,-0.03,70.5,-598435.5,0.2
4169.86,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.2,-0.03,70.5,-598435.5,0.25
4170.08,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.21,-0.03,70.5,-598435.4,0.33
4170.3,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.21,-0.03,70.5,-598435.3,0.33
4170.54,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.22,-0.03,70.5,-598435.3,0.33
4170.74,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.22,-0.03,70.5,-598435.4,0.33
4170.96,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048907,-74.710291,70.5,0.0,0.0,12.12,91.24,-0.03,70.5,-598435.4,0.33
4171.18,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.24,-0.04,70.5,-598435.3,0.33
4171.4,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.25,-0.03,70.5,-598435.3,0.33
4171.58,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.25,-0.04,70.5,-598435.3,0.33
4171.84,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.26,-0.03,70.5,-598435.3,0.33
4172.06,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.26,-0.03,70.5,-598435.3,0.33
4172.28,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.26,-0.03,70.5,-598435.3,0.33
4172.5,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.27,-0.04,70.5,-598435.3,0.33
4172.7,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.28,-0.03,70.5,-598435.2,0.33
4172.94,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.28,-0.03,70.5,-598435.3,0.33
4173.16,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.29,-0.03,70.5,-598435.2,0.33
4173.38,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.12,91.29,-0.03,70.5,-598435.2,0.38
4173.58,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710291,70.5,0.0,0.0,12.11,91.3,-0.03,70.5,-598434.7,0.45
4173.84,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.71029,70.5,0.0,0.0,12.11,91.3,-0.03,70.5,-598434.7,0.45
4174.06,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710289,70.5,0.0,0.0,12.11,91.31,-0.03,70.5,-598434.7,0.45
4174.26,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710288,70.5,0.0,0.0,12.11,91.3,-0.03,70.5,-598434.7,0.45
4174.46,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710287,70.5,0.0,0.0,12.11,91.3,-0.03,70.5,-598434.6,0.45
4174.7,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710286,70.5,0.0,0.0,12.11,91.31,-0.03,70.5,-598434.6,0.45
4174.92,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710286,70.5,0.0,0.0,12.11,91.31,-0.03,70.5,-598434.5,0.45
4175.14,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710285,70.5,0.0,0.0,12.11,91.32,-0.03,70.5,-598434.5,0.45
4175.4,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710283,70.5,0.0,0.0,12.11,91.32,-0.03,70.5,-598434.4,0.45
4175.6,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710282,70.5,0.0,0.0,12.11,91.32,-0.03,70.5,-598434.3,0.45
4175.82,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710281,70.5,0.0,0.0,12.11,91.33,-0.03,70.5,-598434.3,0.45
4176.06,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710279,70.5,0.0,0.0,12.11,91.33,-0.03,70.5,-598434.2,0.45
4176.34,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710278,70.5,0.0,0.0,12.11,91.34,-0.03,70.5,-598434.2,0.45
4176.56,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710276,70.5,0.0,0.0,12.11,91.34,-0.03,70.5,-598434.1,0.45
4176.78,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710275,70.5,0.0,0.0,12.11,91.34,-0.04,70.5,-598434.1,0.45
4177.04,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710273,70.5,0.0,0.0,12.11,91.35,-0.03,70.5,-598434.0,0.45
4177.26,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710271,70.5,0.0,0.0,12.11,91.36,-0.03,70.5,-598434.0,0.45
4177.52,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710269,70.5,0.0,0.0,12.11,91.36,-0.03,70.5,-598433.9,0.45
4177.76,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048908,-74.710268,70.5,0.0,0.0,12.11,91.37,-0.03,70.5,-598433.9,0.45
4177.94,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710266,70.5,0.0,0.0,12.11,91.37,-0.03,70.5,-598433.8,0.45
4178.18,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710264,70.5,0.0,0.0,12.11,91.38,-0.03,70.5,-598433.8,0.45
4178.4,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710262,70.5,0.0,0.0,12.11,91.38,-0.03,70.5,-598433.7,0.45
4178.62,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.71026,70.5,0.0,0.0,12.1,91.39,-0.03,70.5,-598433.7,0.45
4178.84,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710258,70.5,0.0,0.0,12.11,91.39,-0.03,70.5,-598433.6,0.45
4179.04,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710256,70.5,0.0,0.0,12.11,91.4,-0.03,70.5,-598433.6,0.45
4179.28,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710254,70.5,0.0,0.0,12.11,91.4,-0.03,70.5,-598433.5,0.45
4179.5,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710252,70.5,0.0,0.0,12.1,91.41,-0.03,70.5,-598433.5,0.45
4179.72,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.71025,70.5,0.0,0.0,12.1,91.41,-0.03,70.5,-598433.4,0.45
4179.94,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710247,70.5,0.0,0.0,12.1,91.42,-0.03,70.5,-598433.4,0.45
4180.22,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710244,70.5,0.0,0.0,12.1,91.43,-0.03,70.5,-598433.3,0.45
4180.48,0.0,VesselSituation.pre_launch,UNKNOWN,-0.048909,-74.710241,70.5,0.0,0.0,12.1,91.43,-0.03,70.5,-598433.2,0.45
