ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
3477.74,8.6,VesselSituation.landed,UNKNOWN,-0.048904,-74.710241,70.2,0.0,0.0,-21.73,90.12,0.01,70.2,-598435.5,0.0
3478.06,8.92,VesselSituation.landed,UNKNOWN,-0.048904,-74.710242,70.2,0.0,0.0,-21.73,90.12,0.01,70.2,-598435.5,0.0
3478.28,9.14,VesselSituation.landed,UNKNOWN,-0.048904,-74.710242,70.2,0.0,0.0,-21.72,90.12,0.0,70.2,-598435.4,0.0
3478.48,9.32,VesselSituation.landed,UNKNOWN,-0.048904,-74.710242,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.5,0.0
3478.74,9.6,VesselSituation.landed,UNKNOWN,-0.048903,-74.710242,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.4,0.0
3478.96,9.82,VesselSituation.landed,UNKNOWN,-0.048903,-74.710242,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.5,0.0
3479.16,10.02,VesselSituation.landed,UNKNOWN,-0.048903,-74.710242,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.5,0.0
3479.44,10.3,VesselSituation.landed,UNKNOWN,-0.048903,-74.710243,70.2,0.0,0.0,-21.72,90.11,0.01,70.2,-598435.4,0.0
3479.66,10.52,VesselSituation.landed,UNKNOWN,-0.048903,-74.710243,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.5,0.0
3479.86,10.72,VesselSituation.landed,UNKNOWN,-0.048903,-74.710243,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.4,0.0
3480.08,10.94,VesselSituation.landed,UNKNOWN,-0.048903,-74.710243,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.5,0.0
3480.3,11.16,VesselSituation.landed,UNKNOWN,-0.048903,-74.710243,70.2,0.0,0.0,-21.73,90.11,0.01,70.2,-598435.5,0.0
3480.48,11.32,VesselSituation.landed,UNKNOWN,-0.048903,-74.710243,70.2,0.0,0.0,-21.73,90.1,0.01,70.2,-598435.5,0.0
3480.74,11.6,VesselSituation.landed,UNKNOWN,-0.048903,-74.710244,70.2,0.0,0.0,-21.73,90.1,0.01,70.2,-598435.4,0.0
3480.94,11.8,VesselSituation.landed,UNKNOWN,-0.048903,-74.710244,70.2,0.0,0.0,-21.72,90.1,0.01,70.2,-598435.5,0.0
3481.14,12.0,VesselSituation.landed,UNKNOWN,-0.048903,-74.710244,70.2,0.0,0.0,-21.73,90.1,0.01,70.2,-598435.5,0.0
3481.38,12.24,VesselSituation.landed,UNKNOWN,-0.048903,-74.710244,70.2,0.0,0.0,-21.73,90.1,0.01,70.2,-598435.4,0.0
3481.6,12.46,VesselSituation.landed,UNKNOWN,-0.048903,-74.710244,70.2,0.0,0.0,-21.73,90.09,0.0,70.2,-598435.5,0.0
3481.82,12.68,VesselSituation.landed,UNKNOWN,-0.048903,-74.710244,70.2,0.0,0.0,-21.73,90.09,0.01,70.2,-598435.4,0.0
3482.06,12.92,VesselSituation.landed,UNKNOWN,-0.048903,-74.710245,70.2,0.0,0.0,-21.72,90.09,0.01,70.2,-598435.4,0.0
3482.28,13.14,VesselSituation.landed,UNKNOWN,-0.048903,-74.710245,70.2,0.0,0.0,-21.73,90.09,0.01,70.2,-598435.5,0.0
3482.48,13.34,VesselSituation.landed,UNKNOWN,-0.048903,-74.710245,70.2,0.0,0.0,-21.73,90.09,0.01,70.2,-598435.4,0.0
3482.8,13.66,VesselSituation.landed,UNKNOWN,-0.048903,-74.710245,70.2,0.0,0.0,-21.73,90.09,0.01,70.2,-598435.5,0.0
3483.02,13.88,VesselSituation.landed,UNKNOWN,-0.048903,-74.710245,70.2,0.0,0.0,-21.73,90.09,0.01,70.2,-598435.5,0.0
3483.22,14.08,VesselSituation.landed,UNKNOWN,-0.048903,-74.710245,70.2,0.0,0.0,-21.72,90.08,0.01,70.2,-598435.4,0.0
