ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
1381.68,18.18,VesselSituation.landed,UNKNOWN,-0.048901,-74.710249,70.2,0.0,0.0,-21.73,90.5,0.0,70.2,-598435.4,0.0
1382.1,18.6,VesselSituation.landed,UNKNOWN,-0.0489,-74.710249,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1382.32,18.82,VesselSituation.landed,UNKNOWN,-0.0489,-74.710249,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1382.54,19.04,VesselSituation.landed,UNKNOWN,-0.0489,-74.71025,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1382.74,19.24,VesselSituation.landed,UNKNOWN,-0.0489,-74.71025,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1382.96,19.46,VesselSituation.landed,UNKNOWN,-0.0489,-74.71025,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1383.18,19.68,VesselSituation.landed,UNKNOWN,-0.0489,-74.71025,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1383.38,19.88,VesselSituation.landed,UNKNOWN,-0.0489,-74.71025,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1383.58,20.08,VesselSituation.landed,UNKNOWN,-0.0489,-74.710251,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1383.82,20.32,VesselSituation.landed,UNKNOWN,-0.0489,-74.710251,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1384.04,20.54,VesselSituation.landed,UNKNOWN,-0.0489,-74.710251,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1384.24,20.74,VesselSituation.landed,UNKNOWN,-0.0489,-74.710251,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1384.48,20.98,VesselSituation.landed,UNKNOWN,-0.0489,-74.710251,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1384.68,21.18,VesselSituation.landed,UNKNOWN,-0.0489,-74.710251,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1384.9,21.4,VesselSituation.landed,UNKNOWN,-0.0489,-74.710252,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1385.12,21.62,VesselSituation.landed,UNKNOWN,-0.0489,-74.710252,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1385.32,21.82,VesselSituation.landed,UNKNOWN,-0.0489,-74.710252,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1385.54,22.04,VesselSituation.landed,UNKNOWN,-0.0489,-74.710252,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1385.76,22.26,VesselSituation.landed,UNKNOWN,-0.0489,-74.710252,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1385.98,22.48,VesselSituation.landed,UNKNOWN,-0.0489,-74.710252,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1386.18,22.68,VesselSituation.landed,UNKNOWN,-0.0489,-74.710253,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1386.44,22.94,VesselSituation.landed,UNKNOWN,-0.0489,-74.710253,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1386.66,23.16,VesselSituation.landed,UNKNOWN,-0.0489,-74.710253,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1386.88,23.38,VesselSituation.landed,UNKNOWN,-0.0489,-74.710253,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1387.1,23.6,VesselSituation.landed,UNKNOWN,-0.0489,-74.710253,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1387.32,23.82,VesselSituation.landed,UNKNOWN,-0.0489,-74.710254,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1387.54,24.04,VesselSituation.landed,UNKNOWN,-0.0489,-74.710254,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1387.74,24.24,VesselSituation.landed,UNKNOWN,-0.048899,-74.710254,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1387.98,24.48,VesselSituation.landed,UNKNOWN,-0.048899,-74.710254,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1388.2,24.7,VesselSituation.landed,UNKNOWN,-0.048899,-74.710254,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1388.4,24.9,VesselSituation.landed,UNKNOWN,-0.048899,-74.710254,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1388.64,25.14,VesselSituation.landed,UNKNOWN,-0.048899,-74.710255,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1388.84,25.34,VesselSituation.landed,UNKNOWN,-0.048899,-74.710255,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1389.06,25.56,VesselSituation.landed,UNKNOWN,-0.048899,-74.710255,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1389.26,25.76,VesselSituation.landed,UNKNOWN,-0.048899,-74.710255,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.4,0.0
1389.48,25.98,VesselSituation.landed,UNKNOWN,-0.048899,-74.710255,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1389.7,26.2,VesselSituation.landed,UNKNOWN,-0.048899,-74.710256,70.2,0.0,0.0,-21.73,90.51,0.0,70.2,-598435.5,0.0
1389.9,26.42,VesselSituation.landed,UNKNOWN,-0.048899,-74.710256,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1390.18,26.68,VesselSituation.landed,UNKNOWN,-0.048899,-74.710256,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1390.4,26.9,VesselSituation.landed,UNKNOWN,-0.048899,-74.710256,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
1390.62,27.12,VesselSituation.landed,UNKNOWN,-0.048899,-74.710256,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1390.82,27.32,VesselSituation.landed,UNKNOWN,-0.048899,-74.710256,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.4,0.0
1391.04,27.54,VesselSituation.landed,UNKNOWN,-0.048899,-74.710257,70.2,0.0,0.0,-21.73,90.52,0.0,70.2,-598435.5,0.0
