ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
7447.71,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7447.91,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7448.11,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7448.37,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7448.59,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7448.77,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7449.01,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7449.21,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7449.41,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7449.63,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7449.83,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7450.09,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7450.31,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7450.51,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7450.77,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7450.97,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7451.15,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7451.41,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7451.61,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7451.85,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7452.07,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7452.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
